Img; Root; X; Y; theta; Diam; bLength; aLength; BirthTime; rootOrder; insertA; parentRoot; pathRoot
04_05_2014_R001.xml; BMEC1_R001_A1; 10.130519; 9.137826; 4.7355886; 0.09339102; 4.463389; 5.565177; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.134618; 9.31447; 4.613925; 0.098520786; 4.64008; 5.388486; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.114318; 9.519973; 4.6687946; 0.089720935; 4.846583; 5.181983; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.107056; 9.686454; 4.5904164; 0.100431636; 5.013222; 5.0153437; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.074199; 9.954494; 4.547634; 0.09302539; 5.28327; 4.745296; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.047945; 10.112403; 4.588515; 0.09170908; 5.4433465; 4.58522; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.03095; 10.248894; 4.605591; 0.09188932; 5.5808907; 4.4476757; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.004188; 10.4985285; 4.576921; 0.09557359; 5.8319564; 4.19661; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 9.974088; 10.719359; 4.641761; 0.11516221; 6.054829; 3.9737372; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 9.957573; 10.952799; 4.658212; 0.10206198; 6.288852; 3.739714; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 9.945875; 11.168508; 4.7684402; 0.093852185; 6.5048776; 3.5236883; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 9.956458; 11.357125; 4.8505435; 0.10544437; 6.6937923; 3.3347735; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 9.983023; 11.548181; 5.0169; 0.10544437; 6.886685; 3.141881; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.060634; 11.795125; 5.244082; 0.10544437; 7.1455383; 2.8830278; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.252235; 12.120871; 5.4185324; 0.1149031; 7.5234556; 2.5051107; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.401652; 12.296069; 5.1975393; 0.1149031; 7.753716; 2.27485; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.609368; 12.690086; 5.0291467; 0.1149031; 8.199133; 1.8294336; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.657759; 12.837708; 4.9859824; 0.114661984; 8.354484; 1.6740822; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.7205925; 13.061612; 4.9626713; 0.10552838; 8.587037; 1.4415287; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.779867; 13.293478; 4.958321; 0.10757244; 8.82636; 1.2022065; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.830066; 13.493462; 4.9056516; 0.10722469; 9.032547; 0.9960193; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.870107; 13.698058; 4.86439; 0.10722469; 9.241024; 0.7875419; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.903171; 13.913907; 4.847663; 0.103749; 9.459391; 0.5691754; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.929908; 14.110353; 4.8277683; 0.104369424; 9.657648; 0.37091792; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.957866; 14.351589; 4.9440055; 0.104369424; 9.900499; 0.12806712; 0.0;0; 0.0;-1;-1
04_05_2014_R001.xml; BMEC1_R001_A1; 10.987264; 14.476236; 0.0; 0.104369424; 10.028566; 0.0; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.102492; 4.7950997; 4.4246864; 0.09527271; 0.0; 14.639552; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.031236; 5.0359025; 4.9586115; 0.09527271; 0.2511248; 14.388428; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.102293; 5.318635; 4.977671; 0.09527271; 0.54264927; 14.096904; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.154672; 5.5114284; 5.0030875; 0.104061045; 0.7424315; 13.89712; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.214266; 5.710624; 4.9712844; 0.09699516; 0.9503509; 13.689201; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.263849; 5.8978424; 5.054719; 0.09876958; 1.1440235; 13.495529; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.318749; 6.051903; 4.977559; 0.09876958; 1.3075738; 13.331979; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.379587; 6.275926; 5.0257425; 0.08846382; 1.5397109; 13.099841; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.436786; 6.4524503; 4.992634; 0.0882182; 1.7252709; 12.914281; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.484495; 6.6182117; 4.8755493; 0.09304788; 1.8977618; 12.741791; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.509213; 6.7683635; 4.758272; 0.0896283; 2.0499346; 12.589618; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.5163145; 6.9230027; 4.6515803; 0.09882393; 2.204737; 12.434815; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.504903; 7.1104255; 4.587781; 0.10726552; 2.3925066; 12.2470455; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.479698; 7.3116536; 4.512976; 0.10198456; 2.595307; 12.044245; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.439029; 7.5128884; 4.54626; 0.08438589; 2.8006105; 11.838943; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.410198; 7.6848307; 4.469295; 0.0982495; 2.974953; 11.664599; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.362847; 7.875764; 4.4102554; 0.0982495; 3.17167; 11.467882; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.293611; 8.097905; 4.452539; 0.10160063; 3.4043512; 11.235201; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.242824; 8.288936; 4.369681; 0.094923325; 3.6020176; 11.037535; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.188222; 8.441972; 4.601732; 0.094923325; 3.7645028; 10.875051; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.172347; 8.584847; 4.6561103; 0.094923325; 3.908257; 10.731295; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.165292; 8.710083; 4.570492; 0.094923325; 4.033692; 10.605861; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.140597; 8.882944; 4.6739087; 0.094923325; 4.2083077; 10.431244; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.135235; 9.022228; 4.67162; 0.094547965; 4.3476944; 10.291858; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.130519; 9.137826; 4.7355886; 0.09339102; 4.463389; 10.176164; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.134618; 9.31447; 4.613925; 0.098520786; 4.64008; 9.999473; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.114318; 9.519973; 4.6687946; 0.089720935; 4.846583; 9.79297; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.107056; 9.686454; 4.5904164; 0.100431636; 5.013222; 9.62633; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.074199; 9.954494; 4.547634; 0.09302539; 5.28327; 9.356282; 0.0;0; 0.0;-1;-1
05_05_2014_R001.xml; BMEC1_R001_A1; 10.047945; 10.112403; 4.588515; 0.09170908; 5.4433465; 9.196206; 0.0;0; 0.0;-1;-1
